#Cluster;RA;DEC;Rsun;ERsun;l;b
NGC_104;6.023792;-72.081306;4.52;0.03;305.895;-44.889
NGC_288;13.1885;-26.582611;8.99;0.09;151.285;-89.38
NGC_362;15.809416;-70.848778;8.83;0.1;301.533;-46.247
Whiting_1;30.737499;-3.252778;30.59;1.17;161.618;-60.636
NGC_1261;48.067543;-55.216225;16.4;0.19;270.539;-52.124
Pal_1;53.3335;79.581055;11.18;0.32;130.065;19.028
AM_1;58.759586;-49.615276;118.91;3.4;258.361;-48.471
Eridanus;66.185608;-21.186781;84.68;2.89;218.106;-41.332
Pal_2;71.52462;31.3815;26.17;1.28;170.53;-9.072
NGC_1851;78.52816;-40.046555;11.95;0.13;244.513;-35.036
NGC_1904;81.045837;-24.524416;13.08;0.18;227.23;-29.35
NGC_2298;102.247543;-36.005306;9.83;0.17;245.629;-16.006
NGC_2419;114.535286;38.881944;88.47;2.4;180.37;25.241
Pyxis;136.9869;-37.2266;36.53;0.66;261.321;6.992
NGC_2808;138.012909;-64.863495;10.06;0.11;282.193;-11.253
E_3;140.237793;-77.281891;7.88;0.25;292.268;-19.017
Pal_3;151.381622;0.071667;94.84;3.23;240.14;41.864
NGC_3201;154.403427;-46.412476;4.74;0.04;277.229;8.64
Pal_4;172.318329;28.973373;101.39;2.57;202.311;71.801
NGC_4147;182.52626;18.542639;18.54;0.21;252.848;77.189
NGC_4372;186.439101;-72.659084;5.71;0.21;300.993;-9.884
Rup_106;189.6675;-51.150278;20.71;0.36;300.888;11.671
NGC_4590;189.866577;-26.744057;10.4;0.1;299.626;36.051
NGC_4833;194.891342;-70.876503;6.48;0.08;303.604;-8.015
NGC_5024;198.230209;18.168165;18.5;0.18;332.963;79.764
NGC_5053;199.112885;17.700251;17.54;0.23;335.699;78.946
NGC_5139;201.696991;-47.479473;5.43;0.05;309.102;14.968
NGC_5272;205.548416;28.377277;10.18;0.08;42.217;78.707
NGC_5286;206.61171;-51.374249;11.1;0.14;311.614;10.568
AM_4;209.089066;-27.165171;29.01;0.94;320.283;33.51
NGC_5466;211.363709;28.534445;16.12;0.16;42.15;73.592
NGC_5634;217.405335;-5.97643;25.96;0.62;342.21;49.26
NGC_5694;219.901245;-26.538776;34.84;0.74;331.056;30.36
IC_4499;225.077188;-82.213792;18.89;0.25;307.354;-20.473
NGC_5824;225.994156;-33.068138;31.71;0.6;332.555;22.071
Pal_5;229.019167;-0.121;21.94;0.51;0.839;45.856
NGC_5897;229.351659;-21.010122;12.55;0.24;342.946;30.294
NGC_5904;229.638412;2.081028;7.48;0.06;3.859;46.796
NGC_5927;232.002869;-50.673031;8.27;0.11;326.604;4.86
NGC_5946;233.869051;-50.659713;9.64;0.51;327.583;4.191
NGC_5986;236.512497;-37.786415;10.54;0.13;337.022;13.268
Lynga_7;242.765213;-55.317776;7.9;0.16;328.769;-2.797
Pal_14;242.7525;14.957778;73.58;1.63;28.746;42.192
NGC_6093;244.26004;-22.976084;10.34;0.12;352.673;19.463
NGC_6121;245.896744;-26.525749;1.85;0.02;350.973;15.972
NGC_6101;246.450485;-72.202194;14.45;0.19;317.746;-15.825
NGC_6144;246.80777;-26.0235;8.15;0.13;351.929;15.701
NGC_6139;246.918466;-38.848782;10.04;0.45;342.366;6.939
Ter_3;247.162483;-35.339829;7.64;0.31;345.084;9.199
NGC_6171;248.132752;-13.053778;5.63;0.08;3.373;23.011
ESO_452-SC11;249.854167;-28.399167;7.39;0.2;351.909;12.098
NGC_6205;250.421814;36.459862;7.42;0.08;59.007;40.913
NGC_6229;251.745249;47.527796;30.11;0.47;73.639;40.306
NGC_6218;251.809067;-1.948528;5.11;0.05;15.715;26.313
FSR_1735;253.044174;-47.058056;9.08;0.53;339.188;-1.853
NGC_6235;253.355676;-22.177447;11.94;0.38;358.918;13.518
NGC_6254;254.28772;-4.100306;5.07;0.06;15.137;23.076
NGC_6256;254.886107;-37.120968;7.24;0.29;347.792;3.307
Pal_15;254.9626;-0.539;44.1;1.14;18.849;24.337
NGC_6266;255.304153;-30.11339;6.41;0.1;353.575;7.318
NGC_6273;255.657486;-26.267971;8.34;0.16;356.869;9.382
NGC_6284;256.120114;-24.764799;14.21;0.42;358.347;9.939
NGC_6287;256.288904;-22.708005;7.93;0.37;0.132;11.023
NGC_6293;257.5425;-26.582083;9.19;0.28;357.62;7.834
NGC_6304;258.634399;-29.462028;6.15;0.15;355.826;5.376
NGC_6316;259.155417;-28.140111;11.15;0.39;357.175;5.764
NGC_6341;259.280762;43.135944;8.5;0.07;68.338;34.859
NGC_6325;259.496327;-23.767677;7.53;0.32;0.971;8.003
NGC_6333;259.799086;-18.516257;8.3;0.14;5.544;10.705
NGC_6342;260.291573;-19.587659;8.01;0.23;4.898;9.725
NGC_6356;260.895804;-17.813027;15.66;0.92;6.724;10.22
NGC_6355;260.993533;-26.352827;8.65;0.22;359.585;5.429
NGC_6352;261.371277;-48.422169;5.54;0.07;341.421;-7.166
IC_1257;261.785431;-7.093056;26.59;1.43;16.528;15.145
Ter_2;261.887917;-30.802333;7.75;0.33;356.319;2.298
NGC_6366;261.934357;-5.079861;3.44;0.05;18.409;16.036
Ter_4;262.662506;-31.595528;7.59;0.31;356.024;1.308
HP_1;262.771667;-29.981667;7;0.14;357.425;2.115
NGC_6362;262.979096;-67.048332;7.65;0.07;325.555;-17.57
Lil_1;263.352333;-33.389556;8.06;0.34;354.84;-0.161
NGC_6380;263.618611;-39.06953;9.61;0.3;350.182;-3.422
Ter_1;263.946667;-30.481778;5.67;0.17;357.558;0.991
Ton_2;264.039293;-38.540925;6.99;0.34;350.805;-3.414
NGC_6388;264.071777;-44.7355;11.17;0.16;345.556;-6.738
NGC_6402;264.400651;-3.245916;9.14;0.25;21.324;14.804
NGC_6401;264.652191;-23.909605;8.06;0.24;3.45;3.98
NGC_6397;265.175385;-53.674335;2.48;0.02;338.165;-11.96
Pal_6;265.925812;-26.224995;7.05;0.45;2.09;1.779
NGC_6426;266.22796;3.170142;20.71;0.35;28.087;16.234
Djor_1;266.869583;-33.066389;9.88;0.65;356.675;-2.484
Ter_5;267.0202;-24.779055;6.62;0.15;3.839;1.687
NGC_6440;267.220167;-20.360417;8.25;0.24;7.729;3.801
NGC_6441;267.554413;-37.051445;12.73;0.16;353.532;-5.006
Ter_6;267.69325;-31.275389;7.27;0.35;358.571;-2.162
NGC_6453;267.715508;-34.598477;10.07;0.22;355.718;-3.872
UKS_1;268.613312;-24.145277;15.58;0.56;5.125;0.764
NGC_6496;269.76535;-44.265945;9.64;0.15;348.027;-10.014
Ter_9;270.411667;-26.839722;5.77;0.34;3.603;-1.989
Djor_2;270.454378;-27.825819;8.76;0.18;2.763;-2.508
NGC_6517;270.46075;-8.958778;9.23;0.56;19.225;6.762
Ter_10;270.740833;-26.066944;10.21;0.4;4.421;-1.864
NGC_6522;270.891977;-30.033974;7.29;0.21;1.025;-3.926
NGC_6535;270.960449;-0.297639;6.36;0.12;27.176;10.436
NGC_6528;271.206697;-30.055778;7.83;0.24;1.139;-4.174
NGC_6539;271.207276;-7.585858;8.16;0.39;20.795;6.776
NGC_6540;271.535657;-27.765286;5.91;0.27;3.285;-3.313
NGC_6544;271.833833;-24.998222;2.58;0.06;5.837;-2.202
NGC_6541;272.009827;-43.714889;7.61;0.1;349.286;-11.188
2MASS-GC01;272.090851;-19.829723;3.37;0.62;10.471;0.1
ESO_280-SC06;272.275;-46.423333;20.95;0.65;346.899;-12.571
NGC_6553;272.315322;-25.90775;5.33;0.13;5.25;-3.023
2MASS-GC02;272.4021;-20.778889;5.5;0.44;9.782;-0.615
NGC_6558;272.573974;-31.764508;7.47;0.29;0.199;-6.023
IC_1276;272.684441;-7.207595;4.55;0.25;21.832;5.668
Ter_12;273.065833;-22.741944;5.17;0.38;8.358;-2.101
NGC_6569;273.411667;-31.826889;10.53;0.26;0.481;-6.681
BH_261;273.5275;-28.635;6.12;0.26;3.362;-5.27
NGC_6584;274.656647;-52.215778;13.61;0.17;342.143;-16.414
NGC_6624;275.918793;-30.361029;8.02;0.11;2.788;-7.913
NGC_6626;276.137039;-24.869847;5.37;0.1;7.798;-5.581
NGC_6638;277.733734;-25.497473;9.78;0.34;7.896;-7.153
NGC_6637;277.846252;-32.348084;8.9;0.1;1.723;-10.269
NGC_6642;277.975957;-23.475602;8.05;0.2;9.815;-6.439
NGC_6652;278.940125;-32.990723;9.46;0.14;1.534;-11.377
NGC_6656;279.099762;-23.904749;3.3;0.04;9.892;-7.552
Pal_8;280.37729;-19.828858;11.32;0.63;14.103;-6.801
NGC_6681;280.803162;-32.29211;9.36;0.11;2.853;-12.51
NGC_6712;283.268021;-8.70596;7.38;0.24;25.354;-4.318
NGC_6715;283.763855;-30.479862;26.28;0.33;5.607;-14.087
NGC_6717;283.775177;-22.701473;7.52;0.13;12.876;-10.9
NGC_6723;284.888123;-36.632248;8.27;0.1;0.069;-17.299
NGC_6749;286.314056;1.899756;7.59;0.21;36.2;-2.205
NGC_6752;287.717102;-59.984554;4.12;0.04;336.493;-25.628
NGC_6760;287.800268;1.030466;8.41;0.43;36.108;-3.924
NGC_6779;289.148193;30.183472;10.43;0.14;62.659;8.336
Ter_7;289.432983;-34.657722;24.28;0.49;3.387;-20.067
Pal_10;289.506933;18.578994;8.94;1.18;52.442;2.73
Arp_2;292.183807;-30.355639;28.73;0.34;8.545;-20.785
NGC_6809;294.998779;-30.96475;5.35;0.05;8.793;-23.272
Ter_8;295.435028;-33.999474;27.54;0.42;5.759;-24.559
Pal_11;296.31;-8.007222;14.02;0.51;31.805;-15.576
NGC_6838;298.443726;18.779194;4;0.05;56.746;-4.564
NGC_6864;301.519784;-21.921164;20.52;0.45;20.304;-25.747
NGC_6934;308.547394;7.404472;15.72;0.17;52.103;-18.893
NGC_6981;313.365417;-12.537306;16.66;0.18;35.162;-32.683
NGC_7006;315.372626;16.187323;39.32;0.56;63.77;-19.407
NGC_7078;322.493042;12.167001;10.71;0.1;65.013;-27.313
NGC_7089;323.362579;-0.82325;11.69;0.11;53.371;-35.77
NGC_7099;325.092133;-23.179861;8.46;0.09;27.179;-46.835
Pal_12;326.661804;-21.252611;18.49;0.3;30.51;-47.682
Pal_13;346.68519;12.771539;23.48;0.4;87.103;-42.7
NGC_7492;347.11117;-15.611469;24.39;0.57;53.386;-63.478
