# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.780   Z = 0.0025868   Y = 0.25105316   Age (Myr) = 14000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -3.00794  3.47921   13.3199  14.8301  12.1347
   0.1002953490   0.1002953490  -3.00300  3.47986   13.3024  14.8053  12.1193
   0.1005906980   0.1005906980  -2.99808  3.48052   13.2849  14.7806  12.1041
   0.1008860470   0.1008860470  -2.99316  3.48117   13.2675  14.7561  12.0889
   0.1011813960   0.1011813960  -2.98827  3.48182   13.2502  14.7318  12.0738
   0.1014767450   0.1014767450  -2.98342  3.48247   13.2330  14.7077  12.0588
   0.1017720940   0.1017720940  -2.97858  3.48311   13.2160  14.6839  12.0439
   0.1020674430   0.1020674430  -2.97376  3.48375   13.1989  14.6601  12.0290
   0.1023627920   0.1023627920  -2.96895  3.48440   13.1820  14.6365  12.0142
   0.1026581410   0.1026581410  -2.96414  3.48504   13.1651  14.6131  11.9994
   0.1029534900   0.1029534900  -2.95935  3.48567   13.1482  14.5897  11.9847
   0.1032488390   0.1032488390  -2.95457  3.48631   13.1314  14.5665  11.9700
   0.1035441880   0.1035441880  -2.94980  3.48695   13.1147  14.5435  11.9554
   0.1038395370   0.1038395370  -2.94503  3.48758   13.0980  14.5205  11.9408
   0.1041348860   0.1041348860  -2.94028  3.48821   13.0814  14.4977  11.9262
   0.1044302350   0.1044302350  -2.93556  3.48884   13.0649  14.4751  11.9118
   0.1047255840   0.1047255840  -2.93086  3.48946   13.0485  14.4527  11.8974
   0.1050209330   0.1050209330  -2.92618  3.49009   13.0321  14.4304  11.8831
   0.1053162820   0.1053162820  -2.92150  3.49071   13.0158  14.4082  11.8688
   0.1056116310   0.1056116310  -2.91683  3.49133   12.9996  14.3862  11.8546
   0.1059069800   0.1059069800  -2.91217  3.49195   12.9834  14.3642  11.8404
   0.1062023290   0.1062023290  -2.90752  3.49257   12.9672  14.3424  11.8262
   0.1064976780   0.1064976780  -2.90288  3.49319   12.9511  14.3206  11.8120
   0.1067930270   0.1067930270  -2.89826  3.49380   12.9351  14.2991  11.7980
   0.1070883760   0.1070883760  -2.89367  3.49441   12.9192  14.2777  11.7840
   0.1073837250   0.1073837250  -2.88908  3.49503   12.9033  14.2564  11.7700
   0.1076790740   0.1076790740  -2.88449  3.49564   12.8874  14.2352  11.7561
   0.1079744230   0.1079744230  -2.87992  3.49624   12.8716  14.2140  11.7422
   0.1082697720   0.1082697720  -2.87535  3.49685   12.8559  14.1930  11.7284
   0.1085651210   0.1085651210  -2.87080  3.49746   12.8402  14.1721  11.7146
   0.1088604700   0.1088604700  -2.86627  3.49806   12.8246  14.1514  11.7009
   0.1091558190   0.1091558190  -2.86174  3.49867   12.8091  14.1307  11.6872
   0.1094511680   0.1094511680  -2.85722  3.49927   12.7936  14.1102  11.6735
   0.1097465170   0.1097465170  -2.85271  3.49987   12.7781  14.0897  11.6599
   0.1100418660   0.1100418660  -2.84821  3.50047   12.7627  14.0693  11.6464
   0.1103372150   0.1103372150  -2.84372  3.50107   12.7474  14.0490  11.6329
   0.1106325640   0.1106325640  -2.83924  3.50166   12.7321  14.0289  11.6194
   0.1109279130   0.1109279130  -2.83477  3.50226   12.7169  14.0088  11.6060
   0.1112232620   0.1112232620  -2.83030  3.50285   12.7017  13.9887  11.5927
   0.1115186110   0.1115186110  -2.82585  3.50345   12.6866  13.9689  11.5794
   0.1118139600   0.1118139600  -2.82141  3.50404   12.6715  13.9490  11.5661
   0.1121093090   0.1121093090  -2.81697  3.50463   12.6565  13.9293  11.5529
   0.1124046580   0.1124046580  -2.81253  3.50522   12.6415  13.9096  11.5397
   0.1127000070   0.1127000070  -2.80811  3.50581   12.6266  13.8900  11.5266
   0.1129953560   0.1129953560  -2.80369  3.50640   12.6117  13.8705  11.5135
   0.1132907050   0.1132907050  -2.79928  3.50699   12.5969  13.8510  11.5004
   0.1135860540   0.1135860540  -2.79487  3.50758   12.5821  13.8316  11.4874
   0.1138814030   0.1138814030  -2.79048  3.50817   12.5674  13.8123  11.4744
   0.1141767520   0.1141767520  -2.78608  3.50875   12.5526  13.7931  11.4615
   0.1144721010   0.1144721010  -2.78169  3.50934   12.5379  13.7739  11.4485
   0.1147674500   0.1147674500  -2.77731  3.50993   12.5233  13.7547  11.4356
   0.1150627990   0.1150627990  -2.77293  3.51051   12.5086  13.7356  11.4227
   0.1153581480   0.1153581480  -2.76856  3.51110   12.4939  13.7166  11.4097
   0.1156534970   0.1156534970  -2.76419  3.51168   12.4793  13.6976  11.3968
